id,history_item,visit_time,title,load_successful,http_non_get,synthesized,redirect_source,redirect_destination,origin,generation,attributes,score
25536,15286,2023-01-29 19:41:24.998833,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7036,3,0
25537,15287,2023-01-29 21:09:51.217711,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7037,1,0
25538,15286,2023-01-29 21:09:51.248712,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7037,1,0
25539,15287,2023-01-29 21:09:51.767091,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7037,2,0
25540,15286,2023-01-29 21:09:53.023483,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7037,3,0
25541,15293,2023-01-29 21:10:02.609663,Iniciar sesión | WeTransfer Pro,1,0,0,,,0,7037,1,0
25542,15294,2023-01-29 21:10:03.208452,,1,0,0,,25543.0,0,7037,0,100
25543,15295,2023-01-29 21:10:03.208908,WeTransfer account | WeTransfer,1,0,0,25542.0,,0,7037,0,100
25544,15296,2023-01-29 21:10:07.942154,Inicia sesión: Cuentas de Google,1,0,0,,,0,7037,0,100
25545,15296,2023-01-29 21:10:08.206372,Inicia sesión: Cuentas de Google,1,0,0,,,0,7037,3,0
25546,15297,2023-01-29 21:10:08.409529,Inicia sesión: Cuentas de Google,1,0,0,,,0,7037,1,0
25547,15298,2023-01-29 21:10:08.418028,Inicia sesión: Cuentas de Google,1,0,0,,,0,7037,1,0
25548,15299,2023-01-29 21:10:11.665342,,1,0,0,,25549.0,0,7037,0,100
25549,15300,2023-01-29 21:10:11.666004,Accounts,1,0,0,25548.0,,0,7037,0,100
25550,15300,2023-01-29 21:10:11.980300,Accounts,1,0,0,,,0,7037,3,0
25551,15301,2023-01-29 21:10:14.259731,,1,1,0,,25552.0,0,7037,0,100
25552,15302,2023-01-29 21:10:14.260410,WeTransfer account,1,0,0,25551.0,,0,7037,0,100
25553,15298,2023-01-29 21:10:32.285485,,1,0,0,,25554.0,0,7037,2,0
25554,15303,2023-01-29 21:10:32.285910,Auth Static,1,0,0,25553.0,,0,7037,0,100
25555,15298,2023-01-29 21:10:32.423811,Auth Static,1,0,0,,,0,7037,2,0
25556,15295,2023-01-29 21:10:35.122523,,1,0,0,,25557.0,0,7037,2,0
25557,15304,2023-01-29 21:10:35.122942,Iniciar sesión | WeTransfer Pro,1,0,0,25556.0,,0,7037,0,100
25558,15304,2023-01-29 21:10:35.535378,Iniciar sesión | WeTransfer Pro,1,0,0,,,0,7037,3,0
25559,15305,2023-01-29 21:10:36.553326,,1,0,0,,25560.0,0,7037,0,100
25560,15306,2023-01-29 21:10:36.554155,WeTransfer account | WeTransfer,1,0,0,25559.0,,0,7037,0,100
25561,15286,2023-01-29 21:10:39.492430,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7037,2,0
25562,15286,2023-01-29 21:11:21.880504,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7037,2,0
25563,15286,2023-01-29 22:01:04.000807,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7037,8,60
25564,15286,2023-01-29 22:01:04.718874,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7038,3,0
25565,15286,2023-01-29 22:01:05.342858,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7038,3,0
